,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
434,"(N) 33'-0"" X 24'-7"" ACCESSORY DWELLING UNIT WITH 4'-7"" X 4'-3"" PORCH",2019-03-29,83000.0,774.0,,1.0,R1-1,2325001013,2325001013,Residential,Single Family Residence,2017-04-14,2.0,2.0,1,"514,997.00"
435,SUPPL.  PERMIT TO 19016-20000-05936 TO INCREASE CEILING HEIGHT OF ADU.,2019-05-22,2500.0,,,,R1-1,5469001017,5469001017,Residential,Single Family Residence,2004-03-29,3.0,1.0,1,"223,189.00"
436,Convert detached garage and storage into an Accessory Dwelling Unit pe,2019-09-19,40000.0,697.0,,,R1-1-RIO,2359015015,2359015015,Residential,Single Family Residence,1992-09-29,3.0,2.0,1,"489,535.00"
437,(N) 1-STORY ACCESSORY DWELLING UNIT PER AB494 & SB229,2019-08-19,98000.0,966.0,,1.0,RA-1,2729010014,2729010014,Residential,Single Family Residence,2010-04-27,4.0,3.0,1,"554,508.00"
438,CONVERT EXISTING ACCESSORY LIVING QUARTER INTO AN ACCESSORY DWELLING U,2019-08-20,10000.0,0.0,,0.0,R1-1-HPOZ,5550004028,5550004028,Residential,Single Family Residence,2014-08-19,2.0,2.0,1,"1,294,805.00"
439,"PROPOSE 16'-6""X30'  ONE STORY ACCESSORY DWELLING UNIT PER AB 494 & SB",2019-08-23,50000.0,453.0,,1.0,RS-1,2531022018,2531022018,Residential,Single Family Residence,2017-08-03,4.0,3.0,1,"373,991.00"
440,NEW ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2018-03-15,40000.0,397.0,,1.0,R2-1,5101015003,5101015003,Residential,Single Family Residence,2004-08-02,4.0,1.0,1,"316,125.00"
441,CONVERT (E) 18' X 20' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-08-23,17000.0,360.0,,0.0,RS-1-CUGU,2631008001,2631008001,Residential,Single Family Residence,2018-06-07,3.0,2.0,1,"277,046.00"
442,CONVERT (E) 18' X 20' DET. GARAGE INTO AN ACCESSORY DWELLING UNIT PER,2019-08-22,20000.0,326.0,,,R1-1,2414025004,2414025004,Residential,Single Family Residence,2002-05-08,3.0,1.0,1,"257,035.00"
443,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB,2019-08-19,25000.0,180.0,,1.0,R1-1,2628002028,2628002028,Residential,Single Family Residence,2015-01-16,3.0,2.0,1,"225,255.00"
444,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2019-05-09,16600.0,322.0,,1.0,R1-1-RIO,2362012008,2362012008,Residential,Single Family Residence,2018-02-14,2.0,1.0,1,"854,760.00"
445,CONVERT 20' X 19' ATTACHED 2-CAR GARAGE TO ACCESSORY DWELLING UNIT PER,2019-08-23,37000.0,604.5,0.0,1.0,RS-1,2666011013,2666011013,Residential,Single Family Residence,2006-02-23,4.0,2.0,1,"562,296.00"
446,"NEW DETACHED 26' 6"" X 18' 9"" 2-STORY ACCESSORY DWELLING UNIT PER AB 49",2019-08-21,100369.0,845.0,,2.0,R1-1,4323009002,4323009002,Residential,Single Family Residence,2015-10-30,3.0,2.0,1,"1,098,914.00"
447,ADDITION TO (E) GARAGE TO CREATE (N) ACCESSORY DWELLING UNIT PER AB 22,2018-04-18,120000.0,1179.0,,2.0,R2-1VL,5423011016,5423011016,Residential,Single Family Residence,2017-06-07,3.0,2.0,1,"1,003,985.00"
448,CONVERSION OF (E) GARAGE TO ACCESSORY DWELLING UNIT. PER SB 494 AND SB,2019-07-12,45955.0,329.0,,1.0,[Q]R1-1D,5208025009,5208025009,Residential,Single Family Residence,2018-08-06,3.0,1.0,1,"390,000.00"
449,"New detached ADU per AB 2299 and SB 1069 with attached deck 18"" high m",2018-02-12,90000.0,914.0,,1.0,RE15-1,4420001009,4420001009,Residential,Single Family Residence,2016-11-23,4.0,6.0,1,"7,137,144.00"
450,NEW 1200 SF AT REAR ACCESSORY DWELLING UNIT PER AB 494 AND SB229,2019-08-23,121200.0,1115.0,,2.0,R1-1-RFA,2570014028,2570014028,Residential,Single Family Residence,2013-10-22,3.0,3.0,1,"603,301.00"
451,NEW 36' X 25' ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 WITH  ATTA,2019-05-17,59500.0,1248.0,,1.0,RA-1,2153023008,2153023008,Residential,Single Family Residence,2017-02-14,5.0,5.0,1,"1,466,339.00"
452,(E) 20' X 20' GARAGE CONVERTED TO ACCESSORY DWELLING UNIT PER AB 494 A,2019-08-07,20000.0,400.0,,1.0,RD3-1,5456002003,5456002003,Residential,Single Family Residence,2003-08-13,2.0,1.0,1,"232,596.00"
453,"CONVERT (E) 18'-2"" X 20'-4"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-08-22,20000.0,369.0,0.0,0.0,R1-1,2638031009,2638031009,Residential,Single Family Residence,2018-06-01,3.0,1.0,1,"289,280.00"
454,"CONVERT (E) DETACHED 20 X 18 GARAGE TO ADU AB 494 AND SB 229,  ADD 3'",2019-08-20,22601.7,358.19,,1.0,R1V3-RG,5084007019,5084007019,Residential,Single Family Residence,2010-07-23,3.0,1.0,1,"811,987.00"
455,"NEW 23'6"" X  39'4""  ONE  STORY ACCESSORY DWELLING UNIT ATTACHED TO (E)",2019-01-23,94000.0,924.33,,1.0,R1-1,2228029015,2228029015,Residential,Single Family Residence,2017-12-07,3.0,1.0,1,"535,500.00"
456,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB494 & SB2,2020-02-11,25000.0,453.0,,,R1-1,2315024001,2315024001,Residential,Single Family Residence,2005-02-01,3.0,2.0,1,"400,584.00"
457,"15'-0"" x 18'-5"" SECOND STORY ACCESSORY DWELLING UNIT ADDITION ABOVE (E",2017-09-29,30000.0,250.0,,2.0,R1-1,4223025019,4223025019,Residential,Single Family Residence,2016-06-28,4.0,3.0,1,"1,080,308.00"
458,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & S,2019-08-20,35000.0,457.0,,1.0,R1V2,4108006013,4108006013,Residential,Single Family Residence,1984-12-18,4.0,2.0,1,"375,068.00"
459,CONVERT EXISTING ATTACHED GARAGE TO ADU PER AB494 AND SB229,2019-08-21,20000.0,2058.0,,,RE11-1,2028025009,2028025009,Residential,Single Family Residence,2015-02-13,4.0,2.0,1,"520,376.00"
460,PROPOSE (N) TWO STORY ACCESSORY DWELLING UNIT WITH ATTACHED 2 CAR GARA,2019-08-19,161600.0,1200.0,,2.0,RD2-1-O,5061016012,5061016012,Residential,"Double, Duplex, or Two Units",2018-08-16,2.0,2.0,2,"630,000.00"
461,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-09-20,30000.0,306.0,,1.0,R1V2,4305020008,4305020008,Residential,Single Family Residence,2016-01-29,2.0,3.0,1,"1,294,672.00"
462,"CONVERT THE (E) 18'-5"" X 26'-1"" GARAGE TO (N) ACCESSORY DWELLING UNIT",2018-05-07,10000.0,437.0,,0.0,R1-1,2042001009,2042001009,Residential,Single Family Residence,2016-03-18,2.0,2.0,1,"801,211.00"
463,ADDITION AND CONVERTION OF (E) DETACHED GARAGE INTO ADU PER AB494 AND,2018-10-12,80000.0,1009.0,,0.0,R1-1,2353031002,2353031002,Residential,Single Family Residence,2018-04-05,2.0,2.0,1,"561,000.00"
464,NEW DETACHED ACCESSORY DWELLING UNIT PER AB 494 and SB 229,2018-05-18,114534.0,1134.0,,1.0,RE15-1-HPOZ,5504002012,5504002012,Residential,Single Family Residence,2014-06-25,4.0,4.0,1,"2,746,825.00"
465,CONVERT (E) 2-STORY ACCESSORY LIVING QUARTERS TO ACCESSORY DWELLING UN,2019-08-21,100000.0,103.0,,0.0,R1-1-RIO,2368010001,2368010001,Residential,Single Family Residence,2018-12-14,5.0,5.0,1,"4,250,000.00"
466,NEW 777 SF  ONE STORY ADU PER AB 494/ SB 229; ATTACHED 2-CAR CARPORT.,2019-07-24,75000.0,777.0,,1.0,R1-1-RIO,5436029008,5436029008,Residential,Single Family Residence,2013-11-20,2.0,1.0,1,"610,995.00"
467,"Add 19'-5"" x 19'-3"" (N) Accessory Dwelling Unit per AB 2299 & SB 1069",2018-06-18,41000.0,374.0,,2.0,R1-1,2341003012,2341003012,Residential,Single Family Residence,2017-09-05,3.0,2.0,1,"246,246.00"
468,CONVERT (E) RECREATION ROOM TO (N) ACCESSORY DWELLING UNIT PER AB 2299,2017-05-17,50000.0,178.67,1.0,1.0,R1-1-CUGU,2310017010,2310017010,Residential,Single Family Residence,2004-11-15,2.0,2.0,1,"642,968.00"
469,PROPOSED NEW DETACHED 2-STORY ACCESSORY DWELLING UNIT PER AB 494 & SB,2019-08-23,135000.0,1098.0,,2.0,R1-1-RIO,2248025001,2248025001,Residential,Single Family Residence,2013-06-03,3.0,3.0,1,"883,118.00"
470,CONVERT (E) 20' X 18'  GARAGE INTO ACCESSORY DWELLING UNIT PER AB494 A,2019-09-16,20000.0,360.0,,0.0,RS-1,2697023032,2697023032,Residential,Single Family Residence,2018-03-14,4.0,2.0,1,"348,835.00"
471,CONVERT EX 2ND FLR ACCESSORY LIVING QUARTERS INTO ACCESSORY DWELLING U,2019-08-19,50000.0,0.0,,2.0,R1-1-O-HPOZ,5073027040,5073027040,Residential,Single Family Residence,2005-08-10,5.0,2.0,1,"355,000.00"
472,CONVERSION & ADDITION TO (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER,2018-11-02,22000.0,294.0,,1.0,R1R3-RG-O,5085022009,5085022009,Residential,Single Family Residence,2017-01-20,3.0,1.0,1,"1,165,247.00"
473,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT (413 SQ FT).,2020-02-10,23000.0,413.0,0.0,1.0,RS-1,2033014008,2033014008,Residential,Single Family Residence,2014-11-12,3.0,3.0,1,"108,386.00"
474,PROPOSED CONVERSION OF (E) GARAGE AND (E) WORKSHOP INTO ADU PER AB 494,2019-08-21,30000.0,350.0,,0.0,R1-1,4107007014,4107007014,Residential,Single Family Residence,2004-10-28,3.0,2.0,1,"824,078.00"
475,Convert detached garage to Accessory Dwelling Unit per AB 2299 & SB 10,2017-12-07,50000.0,725.0,,1.0,R1-1-CUGU,2310021038,2310021038,Residential,Single Family Residence,2001-11-13,3.0,1.0,1,"330,332.00"
476,"CONVERT (E) (18'-2""X 20'-1"") GARAGE INTO A (N) ACCESSORY DWELLING UNIT",2019-02-07,20000.0,365.0,,,R1-1-CUGU,2310004003,2310004003,Residential,Single Family Residence,2010-02-22,3.0,2.0,1,"277,591.00"
477,CONVERT AN EXISTING 20'x 20' DETACHED GARAGE TO ACCESSORY DWELLING UNI,2018-08-17,28000.0,684.0,,0.0,R1-1-RIO,5435010038,5435010038,Residential,Single Family Residence,2001-05-10,4.0,2.0,1,"326,147.00"
478,"NEW 38' X 24'-6"" ACCESSORY DWELLING UNIT WITH ATTACHED GARAGE PER AB22",2017-07-03,120000.0,1007.0,,2.0,R1-1-CUGU,2316009033,2316009033,Residential,Single Family Residence,2017-05-09,3.0,1.0,1,"582,612.00"
479,"CONVERT (E) 19'-0"" X 23'-0"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-08-20,19000.0,405.0,0.0,0.0,RS-1,2580008005,2580008005,Residential,Single Family Residence,2009-01-06,4.0,2.0,1,"311,679.00"
480,CONVERT (E) GARAGE AND STORAGE TO ADU PER AB494 AND SB229 (WOOD FRAME,2018-10-23,28000.0,310.0,,1.0,R2-1,6073021027,6073021027,Residential,Single Family Residence,1996-09-03,2.0,2.0,1,"138,426.00"
481,PROPOSED NEW DETACHED 2-STORY ACCESSORY DWELLING UNIT PER AB 494 AND S,2019-01-04,125000.0,1198.0,,2.0,RD1.5-1,2558026026,2558026026,Residential,Single Family Residence,2012-09-26,2.0,2.0,1,"262,804.00"
482,NEW 816 SF ACCESSORY DWELLING UNIT PER AB494 AND SB299  AT THE REAR OF,2018-09-21,0.0,756.0,,1.0,R1V2,4258001037,4258001037,Residential,Single Family Residence,2017-09-12,2.0,1.0,1,"607,495.00"
483,CONVERT EXISTING ATTACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2019-09-20,25000.0,527.0,0.0,,RS-1,2748021019,2748021019,Residential,Single Family Residence,2005-03-23,3.0,2.0,1,"609,154.00"
484,"CONVERT THE (E) 18'-2"" x 21'1-2"" GARAGE INTO A (N) ACCESSORY DWELLING",2019-02-08,2000.0,378.0,,,R1-1,2628014022,2628014022,Residential,Single Family Residence,2018-12-07,3.0,2.0,1,"420,000.00"
485,(N) 32' X 16' IRREGULAR-SHAPED ACCESSORY DWELLING UNIT PER AB 494 AND,2019-02-27,75000.0,437.0,,1.0,RA-1-CUGU,2634005012,2634005012,Residential,Single Family Residence,2018-10-04,2.0,1.0,1,"485,000.00"
486,CONVERT (E) ATTACHED RECREATION ROOM TO ACCESSORY DWELLING UNIT IN (E),2020-02-11,30000.0,1212.0,0.0,1.0,R1-1,5473023017,5473023017,Residential,Single Family Residence,2010-10-22,2.0,1.0,1,"344,544.00"
487,"NEW(31'-7""x 33'-6"") DETACHED  ACCESSORY DWELLING UNIT PER AB 494 AND S",2020-02-13,105000.0,1200.0,,1.0,RS-1,2014017012,2014017012,Residential,Single Family Residence,2017-10-05,3.0,2.0,1,"391,882.00"
488,"ADDITION OF 23'-2"" x 33'-0"" TWO STORY ACCESSORY DWELLING UNIT PER AB 2",2018-08-20,124000.0,936.0,0.0,2.0,R1-1,2275017006,2275017006,Residential,Single Family Residence,2015-12-30,5.0,5.0,1,"2,136,012.00"
489,PROPOSED NEW DETACHED 1-STORY ACCESSORY DWELLING UNIT PER AB 2299 AND,2018-02-12,121000.0,1122.0,,1.0,RE11-1,2529016001,2529016001,Residential,Single Family Residence,2017-11-07,6.0,4.0,2,"461,293.00"
490,"CONVERT (E) 11'-6"" X 21'-2"" DETACHED STORAGE TO ACCESSORY DWELLING UNI",2019-05-15,10000.0,0.0,,0.0,R1-1,2378030015,2378030015,Residential,Single Family Residence,2015-05-14,2.0,2.0,1,"1,806,965.00"
491,"NEW 17'-2' X 32'-3"" ACCESSORY DWELLING UNIT PER AB 494 & SB 229",2020-02-10,71000.0,511.0,,1.0,RA-1,2041008031,2041008031,Residential,Single Family Residence,2008-12-31,5.0,3.0,1,"889,426.00"
492,"CONVERT 18'-2"" X 20'-1"" DETACHED GARAGE TO  ACCESSORY DWELLING UNIT PE",2020-02-14,50000.0,322.0,,1.0,R1-1,2226012010,2226012010,Residential,Single Family Residence,2008-10-29,3.0,2.0,1,"365,358.00"
493,CONVERT THE DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494,2020-02-12,25000.0,360.0,,,R1-1,2638017006,2638017006,Residential,Single Family Residence,2004-11-12,3.0,1.0,1,"286,034.00"
494,"CONVERT 18' X 20"" DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB494",2019-05-13,17000.0,324.0,,1.0,R1-1,5016021025,5016021025,Residential,"Double, Duplex, or Two Units",2018-06-15,3.0,2.0,2,"399,840.00"
495,"(N) 25'-0"" X 19'-8"" DETACHED ACCESSORY DWELLING UNIT PER AB 494 & SB 2",2020-02-12,50000.0,448.0,,1.0,A2-1,2531013006,2531013006,Residential,Single Family Residence,2018-03-22,2.0,1.0,1,"665,040.00"
496,NEW 29' X 45' 1- STORY ACCESSORY DWELLING UNIT PER AB 494 & SB229. ALL,2020-02-14,150000.0,1177.0,,1.0,R1-1-CUGU,2310003004,2310003004,Residential,Single Family Residence,2017-11-08,2.0,1.0,1,"453,900.00"
497,CONVERT  ATTACHED GARAGE TO ACCESSORY DWELLING UNIT.,2020-02-10,20000.0,342.0,0.0,0.0,R1-1,2638036013,2638036013,Residential,Single Family Residence,2007-03-29,2.0,1.0,1,"483,000.00"
498,"NEW 21'7"" X 31'9"" DETACHED 2-STORY ACCESSORY DWELLING UNIT PER AB 494",2019-06-13,140000.0,1196.0,,2.0,R1-1-RIO,2254022001,2254022001,Residential,Single Family Residence,2015-09-09,3.0,3.0,1,"514,445.00"
499,"CONVERT (E) 18'2"" X 20' ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER",2019-03-07,100000.0,2629.0,0.0,1.0,R1-1,2420006006,2420006006,Residential,Single Family Residence,2018-12-17,2.0,2.0,1,"1,000,000.00"
500,CONVERSION OF (E) 20'x20' detached Garage to an Accessory Dwelling Uni,2020-02-11,30000.0,376.9,,1.0,R1-1,2325014009,2325014009,Residential,Single Family Residence,2016-09-16,7.0,4.0,1,"581,380.00"
501,CONVERT ATTACHED GARAGE TO INTO ACCESSORY DWELLING UNIT PER AB-494 AND,2020-02-12,59000.0,700.0,,0.0,R1-1-CUGU,2535004007,2535004007,Residential,Single Family Residence,2011-05-20,2.0,2.0,1,"306,643.00"
502,CONVERT AN  ADD OF 10' x 20' FOR ACCESSORY DWELLING UNIT PER AB 494 AN,2019-08-15,40000.0,440.0,,1.0,RA-1,2673015052,2673015052,Residential,Single Family Residence,2011-01-11,2.0,2.0,1,"413,456.00"
503,CONVERT THE EXIST. 12' x 18' GARAGE INTO AN ACCESSORY DWELLING UNIT PE,2017-11-03,28000.0,348.0,,1.0,R1-1,2354009034,2354009034,Residential,Single Family Residence,2006-06-16,3.0,1.0,1,"534,246.00"
504,SUPPLEMENTAL PERMIT TO 19014-20000-02176 TO REVISE ADU ROOF FRAMING PL,2020-02-13,2000.0,,,,R2-1-O,5083011012,5083011012,Residential,Single Family Residence,2013-10-23,3.0,1.0,1,"394,344.00"
505,"(N) 29'4""X31'8"" IRREGULAR SHAPED 2-STORY ADU WITH 29'4""X28'8"" IRREGULA",2020-02-12,121000.0,1200.0,,2.0,R1-1-O,2645013011,2645013011,Residential,Single Family Residence,2015-01-16,2.0,2.0,1,"332,910.00"
506,One-story addition to (E) garage to create an Accessory Dwelling Unit,2020-02-12,105000.0,1039.0,,1.0,R2-1XL,7462010005,7462010005,Residential,Single Family Residence,2013-09-23,2.0,1.0,1,"387,913.00"
507,2nd story ADU above (e) garage & rec room addition at 1st floor per AB,2020-02-14,100000.0,1199.0,,2.0,RE15-1-HPOZ,5515009003,5515009003,Residential,Single Family Residence,2016-08-10,4.0,3.0,1,"6,840,313.00"
508,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2020-02-13,20500.0,1631.0,0.0,,RS-1,2530010027,2530010027,Residential,Single Family Residence,2017-10-02,3.0,2.0,1,"443,700.00"
509,"CONVERT (E) 18'-3"" X 20'-3"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-11-15,20000.0,369.0,,0.0,R1-1,2115002005,2115002005,Residential,Single Family Residence,2018-02-08,3.0,1.0,1,"454,284.00"
510,New ADU per AB494 and SB229.,2020-02-10,120998.0,1198.0,,1.0,R1-1-O,6119010026,6119010026,Residential,Single Family Residence,2018-07-26,2.0,1.0,1,"459,000.00"
511,ADD 22' X 20' TO DETACHED GARAGE AND CONVERT TO ACCESSORY DWELLING UNI,2019-06-14,61000.0,740.0,,1.0,R1-1,2209018001,2209018001,Residential,Single Family Residence,2018-09-12,3.0,1.0,1,"440,000.00"
512,NEW ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069.  WORK PER LA CITY,2018-03-02,128270.0,1200.0,,1.0,RS-1,2651020031,2651020031,Residential,Single Family Residence,2016-06-08,4.0,2.0,1,"573,050.00"
513,Conversion of (e) recreation room into an accessory dwelling unit (ADU,2019-10-31,5000.0,593.0,,0.0,R2-1,4241015019,4241015019,Residential,"Double, Duplex, or Two Units",2017-12-28,1.0,4.0,2,"1,149,940.00"
514,"PROPOSE18'-1""X20' TWO STORY ACCESSORY DWELLING UNIT [PER AB 494 & SB 2",2020-02-12,76000.0,694.0,,2.0,[Q]R1-1D-HPOZ,5207012008,5207012008,Residential,Single Family Residence,2017-07-14,4.0,1.0,1,"508,747.00"
515,CONVERT ATTACHED GARAGE TO  ACCESSORY DWELLING UNIT PER AB 494 AND SB,2018-09-12,22000.0,2230.0,0.0,1.0,RE9-1-H,2871006024,2871006024,Residential,Single Family Residence,2012-11-16,3.0,2.0,1,"574,245.00"
516,"CONVERT (E) GARAGE TO (N) ADU PER AB 494 AND SB 229 AND 7'7"" X 18'10""",2019-07-03,25000.0,359.0,,0.0,R1-1,5022004005,5022004005,Residential,Single Family Residence,2004-05-28,3.0,2.0,1,"310,920.00"
517,ADDITION TO (E) GARAGE & CONVERSION TO ACCESSORY DWELLING UNIT (ADU) P,2018-12-18,36000.0,567.0,,1.0,R2-1,5001007025,5001007025,Residential,Single Family Residence,2017-06-30,2.0,1.0,1,"478,583.00"
518,CONVERT (E) CARPORT INTO ADU.  ALL WORK PER WFPP.,2020-02-14,7500.0,340.0,,1.0,R1-1-RIO,5437017018,5437017018,Residential,Single Family Residence,2017-12-20,3.0,2.0,1,"816,000.00"
519,"SUPPLEMENTAL PERMIT TO 19010 - 30001 - 02880 ""NEW ACCESSORY DWELLING U",2019-12-05,0.0,,,,R1V2,4234016009,4234016009,Residential,Single Family Residence,2005-10-14,3.0,2.0,1,"1,127,052.00"
520,"NEW 31'-0"" X 39' ACCESSORY DWELLING UNIT PER AB494 AND SB229",2019-12-06,120000.0,1200.0,,1.0,RS-1,2013011040,2013011040,Residential,Single Family Residence,2016-12-05,4.0,2.0,1,"477,503.00"
521,CONVERT (E) 18' X 20' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT.,2020-02-13,17000.0,360.0,,0.0,RS-1-O,2648011012,2648011012,Residential,Single Family Residence,1988-08-02,3.0,2.0,1,"66,978.00"
522,NEW ADU ADDITION OVER (E) GARAGE PER AB494 AND SB229 W/ (N) EXTERIOR S,2019-12-04,30000.0,265.0,,2.0,R1-1,4256031016,4256031016,Residential,Single Family Residence,2015-10-15,4.0,3.0,1,"1,008,809.00"
523,ECPC WALK IN: CONVERT THE (E) REC. ROOM  INTO A (N) ADU PER AB 494 AND,2019-01-31,10000.0,0.0,,0.0,R1-1-RIO,2265022010,2265022010,Residential,Single Family Residence,2005-09-08,3.0,2.0,1,"836,514.00"
524,Convert (18'x20') garage to accessory dwelling unit and add (18'x27'),2019-12-03,65000.0,894.0,,2.0,RS-1,2681020019,2681020019,Residential,Single Family Residence,2017-11-30,4.0,2.0,1,"525,300.00"
525,CONVERT EX ATT GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2020-02-11,30000.0,400.0,0.0,1.0,R1-1,2161010015,2161010015,Residential,Single Family Residence,2015-07-17,3.0,2.0,1,"764,068.00"
526,CONVERT THE (E) STORAGE INTO A (N) ACCESSORY DWELLING UNITS PER AB 494,2019-12-03,30000.0,800.0,,0.0,R1-1,2259008012,2259008012,Residential,Single Family Residence,2002-02-28,3.0,2.0,1,"460,795.00"
527,"NEW 50'-9"" X 28'-0"" ACCESSORY DWELLING UNIT PER AB 494 & SB 229. ALL W",2019-12-03,91000.0,908.0,,1.0,R1-1,2646017010,2646017010,Residential,Single Family Residence,2017-06-23,2.0,1.0,1,"416,000.00"
528,"NEW 2-STORY, 31'-8"" X 21'-7"" DETACHED ACCESSORY DWELLING UNIT (ADU) PE",2019-05-28,121000.0,1135.0,,2.0,RE11-1,2047017004,2047017004,Residential,Single Family Residence,2017-10-31,4.0,2.0,1,"765,000.00"
529,"NEW 44' X 28'9"" DETACHED ACCESSORY DWELLING UNIT AS  PER AB 2299 AND S",2018-06-20,136000.0,1194.0,,1.0,RS-1,2672005034,2672005034,Residential,Single Family Residence,2008-10-06,5.0,3.0,1,"465,201.00"
530,Conversion of (e) garage to accessory dwelling unit (ADU) per AB 494 a,2019-05-07,15000.0,323.0,,1.0,R1-1,4106002031,4106002031,Residential,Single Family Residence,2018-11-20,3.0,2.0,1,"937,000.00"
531,NEW DETACHED 54' X 16' 1-STORY ACCESSORY DWELLING UNIT PER AB 494 AND,2020-02-05,80000.0,795.0,,1.0,RA-1,2163005002,2163005002,Residential,Single Family Residence,2017-11-20,2.0,2.0,1,"1,020,000.00"
532,CONVERT (E) 20' X 30' GARAGE TO ACCESSORY DWELLING UNIT PER AB494 AND,2019-12-04,56000.0,560.0,,1.0,RA-1,2153018005,2153018005,Residential,Single Family Residence,2013-07-05,3.0,2.0,1,"758,249.00"
533,Convert (E) 2 car detached garage at rear of the lot to an ADU per AB,2019-09-23,83000.0,1008.0,,1.0,R1-1,4218007010,4218007010,Residential,Single Family Residence,2018-05-30,3.0,1.0,1,"999,600.00"
534,CONVERT DETACHED 2-CAR GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494,2019-10-07,30000.0,406.0,,1.0,R1-1,2220015019,2220015019,Residential,Single Family Residence,2018-11-13,2.0,1.0,1,"520,000.00"
535,CONVERSION OF (E) GARAGE & STORAGE TO (N) ACCESSORY DWELLING UNIT PER,2019-02-12,40000.0,1045.0,,1.0,R1-1,2156014005,2156014005,Residential,Single Family Residence,2006-02-13,3.0,2.0,1,"436,547.00"
536,New ADU per AB494 and SB 229.,2019-12-05,30000.0,380.0,,1.0,R1-1,4106023035,4106023035,Residential,Single Family Residence,2011-11-17,3.0,2.0,1,"406,502.00"
537,"ADD 26' 11"" X 11' 5"" IRR.-SHAPED ACCESSORY DWELLING UNIT ABOVE (E) ATT",2020-02-11,27000.0,332.0,0.0,2.0,R2-1-O,5526035016,5526035016,Residential,Single Family Residence,2004-02-20,2.0,1.0,1,"652,559.00"
538,NEW 2-STORY ADU WITH ATTACHED GARAGE PER AB 494 AND SB 229,2019-04-02,111100.0,603.0,,2.0,R1-1,5013018014,5013018014,Residential,Single Family Residence,2018-09-24,3.0,2.0,1,"241,883.00"
539,"CONVERT (E) 21'-10"" X 28'-3"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-05-21,26000.0,567.71,0.0,0.0,RA-1-K,2706035024,2706035024,Residential,Single Family Residence,2015-02-04,4.0,3.0,1,"633,511.00"
540,CONVERT (E) ATTACHED GARAGE/2-STORY SFD TO (N) ATTACHED ADU/2-STORY SF,2019-08-07,40000.0,3392.0,0.0,,R1-1,2779012058,2779012058,Residential,Single Family Residence,2015-11-24,5.0,3.0,1,"692,312.00"
541,"CONVERT 40'-2"" X 20'-4"" POR OF EX HOUSE INTO ACCESSORY DWELLING UNIT P",2019-12-04,5000.0,0.0,0.0,0.0,R1-1,2638014013,2638014013,Residential,Single Family Residence,2016-12-16,3.0,1.0,1,"364,140.00"
542,PROPOSED CONVERSION OF GARAGE INTO AN ADU PER AB 494 AND SB 229; ALL W,2018-11-02,20000.0,330.0,,0.0,R1-1,4113015008,4113015008,Residential,Single Family Residence,2015-04-14,3.0,2.0,1,"846,610.00"
